TP,FP,FN,TN,Precision,Recall,Specificity,Accuracy
43,0,5,13,100.0,89.58333333333334,100.0,91.80327868852459
31,0,5,22,100.0,86.11111111111111,100.0,91.37931034482759
45,0,6,19,100.0,88.23529411764706,100.0,91.42857142857143
27,1,1,23,96.42857142857143,96.42857142857143,95.83333333333334,96.15384615384616
17,1,5,15,94.44444444444444,77.27272727272727,93.75,84.21052631578947
10,0,7,11,100.0,58.82352941176471,100.0,75.0
21,0,11,11,100.0,65.625,100.0,74.4186046511628
39,3,8,14,92.85714285714286,82.97872340425532,82.35294117647058,82.8125
19,0,3,13,100.0,86.36363636363636,100.0,91.42857142857143
21,0,3,19,100.0,87.5,100.0,93.02325581395348
18,2,2,16,90.0,90.0,88.88888888888889,89.47368421052632
20,1,4,17,95.23809523809523,83.33333333333334,94.44444444444444,88.09523809523809
32,0,7,15,100.0,82.05128205128204,100.0,87.03703703703704
41,1,8,14,97.61904761904762,83.6734693877551,93.33333333333333,85.9375
24,1,6,17,96.0,80.0,94.44444444444444,85.41666666666666
12,1,3,24,92.3076923076923,80.0,96.0,90.0
18,0,1,14,100.0,94.73684210526315,100.0,96.96969696969697
19,0,4,19,100.0,82.6086956521739,100.0,90.47619047619048
40,0,1,16,100.0,97.5609756097561,100.0,98.24561403508771
73,0,0,10,100.0,100.0,100.0,100.0
22,0,11,16,100.0,66.66666666666666,100.0,77.55102040816327
31,1,6,18,96.875,83.78378378378379,94.73684210526315,87.5
37,0,5,19,100.0,88.09523809523809,100.0,91.80327868852459
33,0,4,15,100.0,89.1891891891892,100.0,92.3076923076923
23,0,4,21,100.0,85.18518518518519,100.0,91.66666666666666
38,0,12,18,100.0,76.0,100.0,82.35294117647058
26,2,3,26,92.85714285714286,89.65517241379311,92.85714285714286,91.22807017543859
51,3,18,15,94.44444444444444,73.91304347826086,83.33333333333334,75.86206896551724
22,0,7,38,100.0,75.86206896551724,100.0,89.55223880597015
36,0,13,17,100.0,73.46938775510205,100.0,80.3030303030303
25,0,3,25,100.0,89.28571428571429,100.0,94.33962264150944
40,0,7,22,100.0,85.1063829787234,100.0,89.85507246376811
67,0,3,13,100.0,95.71428571428572,100.0,96.3855421686747
24,2,8,20,92.3076923076923,75.0,90.9090909090909,81.48148148148148
29,0,1,18,100.0,96.66666666666667,100.0,97.91666666666666
56,1,7,19,98.24561403508771,88.88888888888889,95.0,90.36144578313254
43,3,7,20,93.47826086956522,86.0,86.95652173913044,86.3013698630137
36,0,15,16,100.0,70.58823529411765,100.0,77.61194029850746
